[MS Spectrum]
# of Peaks	1930
Raw Spectrum	[6.687],(scan:[2007])
Background	No Background Spectrum
Base Peak	m/z 119.90 (Inten : 316,950)
m/z	Absolute Intensity	Relative Intensity
604.10	1147	0.36
605.15	457	0.14
606.20	356	0.11
607.35	435	0.14
608.45	445	0.14
609.45	270	0.09
610.50	479	0.15
611.55	143	0.05
612.95	494	0.16
613.65	267	0.08
614.85	197	0.06
615.85	422	0.13
616.85	305	0.10
618.05	412	0.13
619.05	336	0.11
620.50	706	0.22
621.10	673	0.21
622.25	596	0.19
623.30	427	0.13
624.45	326	0.10
625.45	204	0.06
626.50	290	0.09
626.85	173	0.05
627.55	1801	0.57
628.70	290	0.09
629.80	372	0.12
630.80	355	0.11
631.90	529	0.17
633.00	355	0.11
634.00	380	0.12
635.15	308	0.10
636.20	341	0.11
637.15	243	0.08
638.35	368	0.12
639.40	316	0.10
640.45	456	0.14
641.45	334	0.11
642.60	263	0.08
643.65	414	0.13
644.70	322	0.10
645.85	391	0.12
646.85	420	0.13
647.95	354	0.11
649.05	246	0.08
650.15	452	0.14
651.20	255	0.08
652.20	322	0.10
653.30	321	0.10
654.35	294	0.09
655.45	415	0.13
656.45	193	0.06
657.40	1094	0.35
658.65	362	0.11
659.70	145	0.05
660.75	308	0.10
661.85	302	0.10
663.00	237	0.07
663.95	378	0.12
665.40	901	0.28
666.15	248	0.08
667.20	406	0.13
668.30	336	0.11
669.30	191	0.06
670.40	316	0.10
671.45	229	0.07
672.55	487	0.15
673.65	353	0.11
674.70	87	0.03
675.75	231	0.07
676.80	276	0.09
677.75	85	0.03
678.05	72	0.02
679.15	1297	0.41
680.00	1114	0.35
681.15	442	0.14
682.15	373	0.12
683.25	409	0.13
684.50	404	0.13
685.60	1050	0.33
686.45	304	0.10
687.60	443	0.14
688.70	330	0.10
689.70	131	0.04
690.75	643	0.20
691.70	573	0.18
692.90	291	0.09
694.00	269	0.08
695.05	280	0.09
696.25	234	0.07
697.20	350	0.11
698.25	288	0.09
699.30	192	0.06
699.95	626	0.20
700.40	270	0.09
701.45	244	0.08
702.50	213	0.07
703.60	332	0.10
704.60	400	0.13
705.65	318	0.10
706.80	257	0.08
707.80	288	0.09
708.95	191	0.06
710.00	439	0.14
711.10	315	0.10
712.10	213	0.07
713.20	324	0.10
714.30	129	0.04
715.30	344	0.11
716.35	194	0.06
717.45	228	0.07
718.50	824	0.26
719.40	1025	0.32
720.80	357	0.11
721.75	215	0.07
722.95	487	0.15
724.00	184	0.06
725.00	289	0.09
726.10	216	0.07
727.10	276	0.09
728.15	278	0.09
729.25	223	0.07
730.35	593	0.19
731.40	378	0.12
732.45	453	0.14
733.55	325	0.10
734.60	216	0.07
735.70	130	0.04
736.80	519	0.16
737.80	240	0.08
739.00	130	0.04
740.00	270	0.09
741.05	234	0.07
742.10	271	0.09
743.20	336	0.11
744.20	209	0.07
745.30	200	0.06
746.40	333	0.11
747.40	287	0.09
748.50	163	0.05
749.55	181	0.06
750.80	120	0.04
751.80	391	0.12
752.40	872	0.28
753.15	272	0.09
753.90	225	0.07
755.00	257	0.08
756.10	321	0.10
757.15	608	0.19
758.05	3804	1.20
759.30	220	0.07
760.20	473	0.15
761.30	676	0.21
762.45	523	0.17
763.55	288	0.09
764.55	358	0.11
765.70	194	0.06
766.85	763	0.24
767.80	452	0.14
769.00	216	0.07
769.95	205	0.06
771.10	290	0.09
771.95	939	0.30
773.20	286	0.09
774.25	238	0.08
775.30	256	0.08
776.40	182	0.06
777.40	534	0.17
778.50	445	0.14
779.55	277	0.09
780.55	1018	0.32
781.65	241	0.08
782.60	657	0.21
783.90	236	0.07
784.95	229	0.07
786.05	167	0.05
787.10	204	0.06
788.30	762	0.24
789.30	7	0.00
790.25	194	0.06
791.35	240	0.08
792.45	310	0.10
793.55	218	0.07
794.50	222	0.07
795.65	119	0.04
796.80	298	0.09
797.75	168	0.05
798.90	245	0.08
799.85	233	0.07
801.05	164	0.05
802.05	471	0.15
803.15	280	0.09
804.25	181	0.06
805.15	154	0.05
806.30	755	0.24
807.45	1332	0.42
807.95	315	0.10
808.40	259	0.08
809.30	1084	0.34
810.65	272	0.09
811.65	1249	0.39
812.50	116	0.04
813.80	54	0.02
814.85	183	0.06
815.35	47	0.01
816.00	83	0.03
816.95	168	0.05
818.25	309	0.10
819.15	112	0.04
820.20	232	0.07
821.30	189	0.06
822.35	122	0.04
823.45	240	0.08
824.45	267	0.08
825.65	132	0.04
826.60	249	0.08
827.65	63	0.02
828.85	320	0.10
829.90	97	0.03
831.05	127	0.04
832.10	126	0.04
833.10	313	0.10
833.45	227	0.07
834.20	336	0.11
835.25	197	0.06
836.25	284	0.09
837.35	181	0.06
838.40	323	0.10
839.45	206	0.06
840.60	110	0.03
841.70	332	0.10
842.60	103	0.03
843.80	2509	0.79
844.95	267	0.08
846.05	49	0.02
847.10	221	0.07
848.05	64	0.02
848.65	150	0.05
849.15	395	0.12
850.60	63	0.02
851.35	174	0.05
852.25	96	0.03
853.45	339	0.11
854.50	176	0.06
855.90	818	0.26
856.70	284	0.09
857.60	130	0.04
858.85	282	0.09
859.80	156	0.05
860.30	43	0.01
861.10	74	0.02
862.10	94	0.03
863.05	108	0.03
864.15	163	0.05
865.20	187	0.06
866.35	139	0.04
867.25	183	0.06
868.50	186	0.06
869.50	209	0.07
870.50	58	0.02
871.65	179	0.06
872.70	115	0.04
873.05	66	0.02
873.80	173	0.05
874.80	292	0.09
876.15	92	0.03
877.00	323	0.10
877.50	30	0.01
878.15	175	0.06
879.20	220	0.07
880.20	133	0.04
881.25	252	0.08
882.30	158	0.05
883.40	189	0.06
884.40	195	0.06
885.65	423	0.13
886.60	98	0.03
887.60	1	0.00
888.75	195	0.06
889.75	223	0.07
891.05	233	0.07
892.05	142	0.04
893.10	175	0.06
894.15	397	0.13
895.40	313	0.10
896.30	102	0.03
897.40	160	0.05
898.60	214	0.07
899.50	389	0.12
900.50	97	0.03
901.65	344	0.11
902.80	35	0.01
903.15	98	0.03
903.85	120	0.04
904.25	36	0.01
904.80	107	0.03
905.80	4	0.00
907.05	115	0.04
908.00	2	0.00
909.00	57	0.02
910.15	119	0.04
911.40	300	0.09
912.30	104	0.03
913.40	215	0.07
914.40	120	0.04
915.50	114	0.04
916.80	667	0.21
917.80	5	0.00
918.80	115	0.04
919.80	267	0.08
921.05	237	0.07
921.45	86	0.03
922.50	37	0.01
924.70	126	0.04
925.20	255	0.08
925.60	143	0.05
926.35	105	0.03
927.25	332	0.10
928.45	117	0.04
929.45	289	0.09
930.15	90	0.03
930.55	200	0.06
931.60	208	0.07
932.40	8	0.00
933.25	115	0.04
933.75	68	0.02
934.70	250	0.08
935.45	113	0.04
936.05	119	0.04
936.45	44	0.01
937.00	185	0.06
937.65	131	0.04
938.00	100	0.03
939.00	176	0.06
940.00	9	0.00
941.25	169	0.05
942.20	39	0.01
943.60	166	0.05
944.60	37	0.01
945.60	68	0.02
