[MS Spectrum]
# of Peaks	699
Raw Spectrum	[7.037],(scan:[2816])
Background	No Background Spectrum
Base Peak	m/z 190.45 (Inten : 50,540)
m/z	Absolute Intensity	Relative Intensity
631.80	348	0.69
632.85	7	0.01
633.85	27	0.05
635.15	298	0.59
636.15	20	0.04
638.15	2	0.00
641.20	177	0.35
643.15	13	0.03
643.90	83	0.16
645.15	35	0.07
645.55	33	0.07
646.55	10	0.02
648.55	7	0.01
649.55	27	0.05
650.55	46	0.09
652.55	10	0.02
654.55	5	0.01
655.55	13	0.03
656.55	24	0.05
657.55	9	0.02
658.55	36	0.07
659.45	10	0.02
660.30	937	1.85
660.75	849	1.68
662.25	1242	2.46
663.05	5615	11.11
663.55	1503	2.97
664.55	32	0.06
665.55	29	0.06
666.55	9	0.02
668.55	72	0.14
669.55	20	0.04
670.70	99	0.20
671.10	36	0.07
672.15	46	0.09
674.60	1491	2.95
675.05	599	1.19
677.15	571	1.13
679.90	110	0.22
680.50	144	0.28
681.45	52	0.10
682.45	32	0.06
683.45	58	0.11
684.45	4	0.01
686.30	4569	9.04
687.35	5	0.01
688.45	28714	56.81
689.45	13626	26.96
690.15	5575	11.03
690.60	1375	2.72
691.40	1135	2.25
691.90	97	0.19
692.75	3	0.01
693.55	439	0.87
694.55	64	0.13
695.55	23	0.05
696.55	1	0.00
697.55	5	0.01
699.55	77	0.15
700.55	51	0.10
701.45	9	0.02
702.25	2758	5.46
703.25	3	0.01
704.25	2533	5.01
705.45	911	1.80
706.45	30	0.06
707.45	35	0.07
708.45	8	0.02
710.55	1778	3.52
711.55	68	0.13
712.55	3	0.01
713.90	1813	3.59
714.45	6162	12.19
715.60	6449	12.76
716.55	915	1.81
717.40	243	0.48
719.15	137	0.27
720.15	3	0.01
721.15	19	0.04
724.15	3	0.01
725.50	105	0.21
726.55	9	0.02
728.55	9	0.02
733.50	1120	2.22
735.35	306	0.61
736.35	1	0.00
737.35	6	0.01
739.35	37	0.07
740.35	29	0.06
741.65	58	0.11
743.65	18	0.04
745.65	1	0.00
747.65	4	0.01
750.90	46	0.09
753.90	190	0.38
754.50	3960	7.84
756.50	84	0.17
756.90	35	0.07
757.85	3	0.01
758.65	243	0.48
759.80	48	0.09
760.75	3	0.01
762.20	1151	2.28
764.25	30	0.06
767.25	42	0.08
769.25	14	0.03
771.15	106	0.21
772.15	15	0.03
773.15	7	0.01
774.35	62	0.12
776.35	33	0.07
777.35	57	0.11
779.35	20	0.04
780.25	8	0.02
781.00	81	0.16
782.05	53	0.10
783.05	66	0.13
783.95	37	0.07
784.85	116	0.23
786.05	429	0.85
787.30	805	1.59
788.45	1750	3.46
790.85	73	0.14
793.10	57	0.11
794.05	48	0.09
795.05	4	0.01
796.05	16	0.03
797.05	3	0.01
798.35	393	0.78
799.35	8	0.02
Event	2
