[MS Spectrum]
# of Peaks	760
Raw Spectrum	[8.635],(scan:[3455])
Background	No Background Spectrum
Base Peak	m/z 502.15 (Inten : 138,599)
m/z	Absolute Intensity	Relative Intensity
759.70	6164	4.45
760.30	5372	3.88
761.40	2378	1.72
763.45	10	0.01
764.80	204	0.15
765.55	7	0.01
766.40	1586	1.14
766.85	837	0.60
767.65	561	0.40
768.95	764	0.55
769.60	563	0.41
770.50	1290	0.93
771.40	1954	1.41
773.05	177	0.13
773.75	1803	1.30
774.25	1145	0.83
775.30	1326	0.96
776.00	2255	1.63
776.80	1017	0.73
777.55	1099	0.79
778.35	395	0.28
779.00	469	0.34
779.45	1482	1.07
780.15	318	0.23
780.90	1501	1.08
782.30	2077	1.50
783.20	628	0.45
783.80	599	0.43
784.25	111	0.08
784.75	115	0.08
785.30	297	0.21
785.95	738	0.53
787.15	958	0.69
788.30	821	0.59
789.05	823	0.59
789.90	358	0.26
791.85	359	0.26
794.65	19	0.01
795.50	54	0.04
795.90	143	0.10
796.45	424	0.31
797.55	10342	7.46
799.10	570	0.41
Event	1
